Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
151,Lewis Dunk,eng ENG,DF,Brighton,33-154,1991,21.1,5,0,0,7,8,2,4,12,9,0,0,1,99,47,28,62.7,Matches
152,Jáder Durán,co COL,FW,Aston Villa,21-132,2003,7.1,3,1,0,14,15,5,3,0,7,0,0,0,19,19,19,50.0,Matches
153,Ederson,br BRA,GK,Manchester City,31-250,1993,21.8,3,0,0,1,0,0,0,1,0,0,1,0,37,4,1,80.0,Matches
154,George Edmundson,eng ENG,DF,Ipswich Town,27-236,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
155,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-098,1998,1.3,0,0,0,4,0,2,1,0,0,0,0,0,5,1,4,20.0,Matches
156,Odsonne Édouard,fr FRA,FW,Leicester City,27-098,1998,0.3,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,50.0,Matches
157,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-086,2003,0.7,1,0,0,2,1,0,4,0,1,0,0,0,1,0,0,,Matches
158,Ronnie Edwards,eng ENG,DF,Southampton,22-027,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
159,Anthony Elanga,se SWE,FW,Nott'ham Forest,22-362,2002,22.8,1,0,0,7,32,13,142,5,12,0,0,0,79,22,33,40.0,Matches
160,Harvey Elliott,eng ENG,"MF,FW",Liverpool,22-020,2003,2.0,0,0,0,0,0,1,10,1,2,0,0,0,10,1,1,50.0,Matches
161,Yunus Emre Konak,tr TUR,"FW,MF",Brentford,19-104,2006,0.4,0,0,0,3,1,0,0,0,4,0,0,0,2,4,4,50.0,Matches
162,Julio Enciso,py PAR,"MF,FW",Ipswich Town,21-091,2004,6.1,3,0,0,5,11,0,8,1,7,0,0,0,32,6,14,30.0,Matches
163,Julio Enciso,py PAR,"MF,FW",Brighton,21-091,2004,3.3,0,0,0,3,7,0,20,0,0,0,0,0,15,6,5,54.5,Matches
164,Wataru Endo,jp JPN,MF,Liverpool,32-074,1993,1.7,0,0,0,12,6,0,0,3,6,0,0,0,7,1,3,25.0,Matches
165,Christian Eriksen,dk DEN,MF,Manchester Utd,33-069,1992,11.0,4,0,0,8,3,0,74,7,9,0,0,0,59,2,5,28.6,Matches
166,Romain Esse,eng ENG,MF,Crystal Palace,19-346,2005,0.4,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,100.0,Matches
